基金代码,基金简称,风格属性
000011.OF,华夏大盘精选,成长
070002.OF,嘉实增长,成长
260104.OF,景顺长城内需增长,成长
100020.OF,富国天益价值,成长
161005.OF,富国天惠精选成长A,成长
151001.OF,银河稳健,成长
160505.OF,博时主题行业,成长
519008.OF,汇添富优势精选,成长
260101.OF,景顺长城优选,成长
002001.OF,华夏回报A,成长
040004.OF,华安宝利配置,成长
100022.OF,富国天瑞强势精选,成长
240001.OF,华宝宝康消费品,成长
070001.OF,嘉实成长收益A,成长
163801.OF,中银中国精选,成长
288002.OF,华夏收入,成长
160603.OF,鹏华普天收益,成长
162203.OF,泰达宏利稳定,成长
162703.OF,广发小盘成长A,成长
270002.OF,广发稳健增长A,成长
163302.OF,大摩资源优选,平衡
160605.OF,鹏华中国50,成长
020003.OF,国泰金龙行业精选,成长
519688.OF,交银精选,成长
162201.OF,泰达宏利成长,成长
090004.OF,大成精选增值,成长
002011.OF,华夏红利,成长
180012.OF,银华富裕主题,成长
519001.OF,银华核心价值优选,成长
162204.OF,泰达宏利行业精选,成长
161706.OF,招商优质成长,成长
450002.OF,国富弹性市值,平衡
481001.OF,工银瑞信核心价值A,成长
162202.OF,泰达宏利周期,成长
257020.OF,国联安精选,成长
080001.OF,长盛成长价值,平衡
090001.OF,大成价值增长,成长
110001.OF,易方达平稳增长,成长
519087.OF,新华优选分红,成长
100026.OF,富国天合稳健优选,成长
110011.OF,易方达中小盘,成长
121002.OF,国投瑞银景气行业,平衡
340006.OF,兴全全球视野,成长
161903.OF,万家行业优选,成长
519011.OF,海富通精选,成长
310308.OF,申万菱信盛利精选,成长
240004.OF,华宝动力组合,成长
217001.OF,招商安泰,成长
070006.OF,嘉实服务增值行业,成长
160106.OF,南方高增长,成长
398001.OF,中海优质成长,成长
375010.OF,上投摩根中国优势,成长
460001.OF,华泰柏瑞盛世中国,成长
020005.OF,国泰金马稳健回报,成长
460005.OF,华泰柏瑞价值增长A,成长
400003.OF,东方精选,成长
161606.OF,融通行业景气A,成长
110005.OF,易方达积极成长,成长
519668.OF,银河竞争优势成长,成长
519069.OF,汇添富价值精选A,成长
270005.OF,广发聚丰A,成长
519692.OF,交银成长A,成长
040005.OF,华安宏利,平衡
162607.OF,景顺长城资源垄断,成长
163804.OF,中银收益A,成长
202001.OF,南方稳健成长,成长
510081.OF,长盛动态精选,成长
160607.OF,鹏华价值优势,平衡
360006.OF,光大新增长,成长
000001.OF,华夏成长,成长
255010.OF,国联安稳健,平衡
110002.OF,易方达策略成长,成长
180001.OF,银华优势企业,成长
180010.OF,银华优质增长,成长
270001.OF,广发聚富,平衡
257010.OF,国联安小盘精选,平衡
519996.OF,长信银利精选,成长
040035.OF,华安逆向策略,成长
180031.OF,银华中小盘精选,成长
320003.OF,诺安先锋,成长
240008.OF,华宝收益增长,价值
530001.OF,建信恒久价值,成长
240005.OF,华宝多策略,价值
000083.OF,汇添富消费行业,成长
217005.OF,招商先锋,成长
288001.OF,华夏经典配置,成长
540002.OF,汇丰晋信龙腾,成长
202003.OF,南方绩优成长A,成长
360005.OF,光大红利,成长
519679.OF,银河主题策略,成长
050004.OF,博时精选A,平衡
163412.OF,兴全轻资产,成长
163406.OF,兴全合润分级,成长
519068.OF,汇添富成长焦点,成长
110009.OF,易方达价值精选,成长
121005.OF,国投瑞银创新动力,平衡
519670.OF,银河行业优选,成长
202011.OF,南方优选价值A,成长
450001.OF,国富中国收益,成长
530003.OF,建信优选成长A,成长
162102.OF,金鹰中小盘精选,成长
550002.OF,中信保诚精萃成长,成长
310328.OF,申万菱信新动力,成长
070003.OF,嘉实稳健,成长
160105.OF,南方积极配置,成长
163803.OF,中银持续增长A,成长
530006.OF,建信核心精选,成长
161601.OF,融通新蓝筹,成长
240009.OF,华宝先进成长,成长
519704.OF,交银先进制造,成长
050001.OF,博时价值增长,成长
040011.OF,华安核心优选,平衡
163415.OF,兴全商业模式优选,成长
470009.OF,汇添富民营活力A,成长
020009.OF,国泰金鹏蓝筹价值,成长
270006.OF,广发策略优选,平衡
340007.OF,兴全社会责任,成长
100060.OF,富国高新技术产业,成长
570008.OF,诺德周期策略,成长
320001.OF,诺安平衡,平衡
161605.OF,融通蓝筹成长,成长
090007.OF,大成策略回报,平衡
260116.OF,景顺长城核心竞争力A,成长
070013.OF,嘉实研究精选A,成长
040025.OF,华安科技动力,成长
519018.OF,汇添富均衡增长,成长
360001.OF,光大核心,平衡
519674.OF,银河创新成长,成长
040001.OF,华安创新,成长
070010.OF,嘉实主题精选,成长
630002.OF,华商盛世成长,平衡
217002.OF,招商安泰平衡,成长
000021.OF,华夏优势增长,成长
519089.OF,新华优选成长,成长
165516.OF,信诚周期轮动,成长
660015.OF,农银汇理行业轮动,成长
590008.OF,中邮战略新兴产业,平衡
110015.OF,易方达行业领先,成长
519150.OF,新华优选消费,成长
090003.OF,大成蓝筹稳健,成长
166009.OF,中欧新动力A,平衡
398061.OF,中海消费主题精选,成长
550003.OF,中信保诚盛世蓝筹,平衡
519979.OF,长信内需成长A,成长
519732.OF,交银定期支付双息平衡,成长
270008.OF,广发核心精选,平衡
540006.OF,汇丰晋信大盘A,平衡
370024.OF,上投摩根核心优选,成长
020023.OF,国泰事件驱动,成长
519712.OF,交银阿尔法,平衡
660001.OF,农银汇理行业成长A,成长
270028.OF,广发制造业精选A,成长
519017.OF,大成积极成长,成长
162207.OF,泰达宏利效率优选,成长
660012.OF,农银汇理消费主题A,成长
020010.OF,国泰金牛创新成长,成长
519993.OF,长信增利策略,成长
160613.OF,鹏华盛世创新,平衡
040016.OF,华安行业轮动,成长
206009.OF,鹏华新兴产业,成长
020026.OF,国泰成长优选,成长
410001.OF,华富竞争力优选,成长
217010.OF,招商大盘蓝筹,成长
690007.OF,民生加银景气行业A,成长
233011.OF,大摩主题优选,成长
550001.OF,信诚四季红,成长
166801.OF,浙商聚潮新思维,成长
200006.OF,长城消费增值,成长
160918.OF,大成中小盘,成长
270041.OF,广发消费品精选A,成长
000017.OF,财通可持续发展主题,成长
470098.OF,汇添富逆向投资,平衡
000263.OF,工银瑞信信息产业,成长
110022.OF,易方达消费行业,成长
580001.OF,东吴嘉禾优势,成长
233007.OF,大摩卓越成长,成长
360016.OF,光大行业轮动,成长
090018.OF,大成新锐产业,成长
020015.OF,国泰区位优势,成长
400007.OF,东方策略成长,成长
090015.OF,大成内需增长A,成长
240020.OF,华宝医药生物,成长
080012.OF,长盛电子信息产业A,成长
519095.OF,新华行业周期轮换,成长
519672.OF,银河蓝筹精选,成长
373020.OF,上投摩根双核平衡,成长
398011.OF,中海分红增利,成长
160916.OF,大成优选,成长
519005.OF,海富通股票,成长
233001.OF,大摩基础行业,成长
000547.OF,建信健康民生,成长
399011.OF,中海医疗保健,成长
000577.OF,安信价值精选,平衡
160133.OF,南方天元新产业,成长
660005.OF,农银汇理中小盘,成长
000220.OF,富国医疗保健行业,成长
290011.OF,泰信中小盘精选,成长
570005.OF,诺德成长优势,平衡
000308.OF,建信创新中国,成长
050010.OF,博时特许价值A,成长
320011.OF,诺安中小盘精选,平衡
519035.OF,富国天博创新主题,成长
481017.OF,工银瑞信量化策略,成长
000251.OF,工银瑞信金融地产A,价值
240011.OF,华宝大盘精选,成长
050026.OF,博时医疗保健行业A,成长
000020.OF,景顺长城品质投资,成长
000127.OF,农银汇理行业领先,成长
660003.OF,农银汇理平衡双利,成长
481015.OF,工银瑞信主题策略,成长
420003.OF,天弘永定成长,成长
270021.OF,广发聚瑞A,成长
163409.OF,兴全绿色投资,成长
161609.OF,融通动力先锋,成长
519002.OF,华安安信消费服务,成长
050007.OF,博时平衡配置,平衡
163503.OF,天治核心成长,成长
290002.OF,泰信先行策略,平衡
373010.OF,上投摩根双息平衡A,平衡
100039.OF,富国通胀通缩主题,成长
519181.OF,万家和谐增长,平衡
310388.OF,申万菱信消费增长,成长
519702.OF,交银趋势优先,平衡
310368.OF,申万菱信竞争优势,成长
166001.OF,中欧新趋势A,成长
320012.OF,诺安主题精选,成长
121003.OF,国投瑞银核心企业,成长
370027.OF,上投摩根智选30,成长
229002.OF,泰达宏利逆向策略,成长
378010.OF,上投摩根成长先锋,成长
377150.OF,上投摩根健康品质生活,成长
257070.OF,国联安优选行业,成长
379010.OF,上投摩根中小盘,成长
000532.OF,景顺长城优势企业,成长
001410.OF,信达澳银新能源产业,成长
000418.OF,景顺长城成长之星,成长
000589.OF,光大银发商机主题,成长
690005.OF,民生加银内需增长,成长
000409.OF,鹏华环保产业,成长
000612.OF,华宝生态中国,平衡
000124.OF,华宝服务优选,成长
001938.OF,中欧时代先锋A,成长
550009.OF,信诚中小盘,成长
470006.OF,汇添富医药保健A,成长
000339.OF,长城医疗保健,成长
519664.OF,银河美丽优萃A,成长
070019.OF,嘉实价值优势,平衡
070011.OF,嘉实策略增长,成长
080005.OF,长盛量化红利策略,价值
200015.OF,长城优化升级,成长
163110.OF,申万菱信量化小盘,平衡
161616.OF,融通医疗保健行业A,成长
519093.OF,新华钻石品质企业,成长
481013.OF,工银瑞信消费服务,成长
240017.OF,华宝新兴产业,成长
166005.OF,中欧价值发现A,平衡
110023.OF,易方达医疗保健,成长
160610.OF,鹏华动力增长,成长
213002.OF,宝盈泛沿海增长,成长
000524.OF,上投摩根民生需求,成长
450004.OF,国富深化价值,成长
001714.OF,工银瑞信文体产业A,成长
530011.OF,建信内生动力,成长
001717.OF,工银瑞信前沿医疗A,成长
000172.OF,华泰柏瑞量化增强A,平衡
519727.OF,交银成长30,成长
001645.OF,国泰大健康,平衡
320005.OF,诺安价值增长,成长
210004.OF,金鹰稳健成长,成长
310358.OF,申万菱信新经济,成长
000117.OF,广发轮动配置,成长
000309.OF,大摩品质生活精选,平衡
160512.OF,博时卓越品牌,成长
540010.OF,汇丰晋信科技先锋,成长
070027.OF,嘉实周期优选,平衡
050014.OF,博时创业成长A,成长
003095.OF,中欧医疗健康A,成长
213008.OF,宝盈资源优选,成长
162006.OF,长城久富,成长
000778.OF,鹏华先进制造,成长
400015.OF,东方新能源汽车主题,成长
519673.OF,银河康乐,成长
590005.OF,中邮核心主题,成长
000031.OF,华夏复兴,成长
580008.OF,东吴新产业精选,成长
233006.OF,大摩领先优势,平衡
202005.OF,南方成份精选A,平衡
690004.OF,民生加银稳健成长,成长
217013.OF,招商中小盘精选,成长
530005.OF,建信优化配置,成长
630010.OF,华商价值精选,成长
002168.OF,嘉实智能汽车,成长
160311.OF,华夏蓝筹核心,成长
519056.OF,海富通内需热点,成长
004075.OF,交银医药创新,成长
460007.OF,华泰柏瑞行业领先,成长
161810.OF,银华内需精选,成长
420005.OF,天弘周期策略,平衡
002340.OF,富国价值优势,成长
000549.OF,华安大国新经济,成长
519698.OF,交银先锋,成长
000628.OF,大成高新技术产业,平衡
630011.OF,华商主题精选,成长
001542.OF,国泰互联网+,成长
070021.OF,嘉实主题新动力,成长
200012.OF,长城中小盘成长,成长
000991.OF,工银瑞信战略转型主题,平衡
166006.OF,中欧行业成长A,成长
580002.OF,东吴价值成长,成长
003853.OF,金鹰信息产业A,成长
519033.OF,海富通国策导向,成长
001985.OF,富国低碳新经济,成长
000039.OF,农银汇理低估值高增长,成长
530019.OF,建信社会责任,成长
000831.OF,工银瑞信医疗保健行业,成长
519983.OF,长信量化先锋A,成长
000551.OF,信诚幸福消费,成长
610006.OF,信达澳银产业升级,成长
376510.OF,上投摩根大盘蓝筹,成长
000550.OF,广发新动力,成长
000960.OF,招商医药健康产业,成长
519678.OF,银河消费驱动,平衡
000803.OF,工银瑞信研究精选,成长
260112.OF,景顺长城能源基建,价值
233009.OF,大摩多因子策略,成长
001736.OF,圆信永丰优加生活,成长
000471.OF,富国城镇发展,成长
540008.OF,汇丰晋信低碳先锋,成长
519714.OF,交银消费新驱动,成长
260110.OF,景顺长城精选蓝筹,成长
002621.OF,中欧消费主题A,成长
050201.OF,博时价值增长2号,成长
710001.OF,富安达优势成长,成长
000711.OF,嘉实医疗保健,成长
210003.OF,金鹰行业优势,平衡
210008.OF,金鹰策略配置,成长
000594.OF,大摩进取优选,平衡
006265.OF,红土创新新科技,成长
519115.OF,浦银安盛红利精选,成长
260115.OF,景顺长城中小盘,平衡
519185.OF,万家精选,平衡
483003.OF,工银瑞信精选平衡,成长
001718.OF,工银瑞信物流产业,成长
233015.OF,大摩华鑫量化配置A,成长
700001.OF,平安行业先锋,平衡
257050.OF,国联安主题驱动,成长
290008.OF,泰信发展主题,成长
100056.OF,富国低碳环保,价值
519013.OF,海富通风格优势,成长
213003.OF,宝盈策略增长,成长
166011.OF,中欧盛世成长A,成长
320007.OF,诺安成长,成长
000884.OF,民生加银优选,成长
610001.OF,信达澳银领先增长,成长
160314.OF,华夏行业精选,成长
000522.OF,华润元大信息传媒科技,成长
519025.OF,海富通领先成长,成长
519987.OF,长信恒利优势,成长
398041.OF,中海量化策略,价值
519099.OF,新华灵活主题,成长
001705.OF,泓德战略转型,成长
040008.OF,华安策略优选,成长
519915.OF,富国消费主题,成长
002229.OF,华夏经济转型,成长
004997.OF,广发高端制造A,成长
005825.OF,申万菱信智能驱动,成长
450007.OF,国富成长动力,成长
163818.OF,中银中小盘成长,成长
519193.OF,万家消费成长,平衡
200008.OF,长城品牌优选,成长
003230.OF,创金合信医疗保健行业A,成长
240022.OF,华宝资源优选,平衡
020018.OF,国泰金鹿,平衡
202009.OF,南方盛元红利,成长
257040.OF,国联安红利,价值
163411.OF,兴全精选,成长
000780.OF,鹏华医疗保健,成长
360010.OF,光大精选,成长
070017.OF,嘉实量化阿尔法,平衡
160805.OF,长盛同智,成长
161610.OF,融通领先成长A,成长
165508.OF,信诚深度价值,成长
000209.OF,信诚新兴产业,成长
006642.OF,华泰保兴吉年利,成长
540009.OF,汇丰晋信消费红利,平衡
570006.OF,诺德中小盘,成长
090011.OF,大成核心双动力,平衡
001104.OF,华安新丝路主题,成长
005939.OF,工银瑞信新能源汽车A,成长
002562.OF,泓德泓益,成长
001054.OF,工银瑞信新金融,成长
000120.OF,中银美丽中国,成长
000945.OF,华夏医疗健康A,成长
005968.OF,创金合信工业周期精选A,成长
630001.OF,华商领先企业,成长
006366.OF,兴业安保优选,成长
006132.OF,万家智造优势A,成长
003190.OF,创金合信消费主题A,成长
004505.OF,博时新兴消费主题,平衡
121008.OF,国投瑞银成长优选,成长
410003.OF,华富成长趋势,成长
001382.OF,易方达国企改革,成长
001513.OF,易方达信息产业,成长
001766.OF,上投摩根医疗健康,成长
270007.OF,广发大盘成长,成长
000828.OF,泰达宏利转型机遇,成长
003745.OF,广发多元新兴,成长
005235.OF,银华食品饮料A,成长
001576.OF,国泰智能装备,成长
090019.OF,大成景恒A,平衡
000729.OF,建信中小盘,平衡
001178.OF,前海开源再融资主题精选,平衡
006977.OF,农银汇理海棠三年定开,成长
004183.OF,富国产业升级,成长
110029.OF,易方达科讯,成长
002980.OF,华夏创新前沿,成长
260117.OF,景顺长城支柱产业,平衡
730001.OF,方正富邦创新动力A,平衡
004076.OF,国联安锐意成长,成长
005680.OF,财通资管价值成长,成长
470028.OF,汇添富社会责任,成长
005630.OF,华安研究精选,成长
688888.OF,浙商聚潮产业成长,价值
200010.OF,长城双动力,成长
002300.OF,长盛医疗行业,成长
001725.OF,汇添富中国高端制造,成长
519110.OF,浦银安盛价值成长A,成长
006314.OF,中融策略优选A,成长
000066.OF,诺安鸿鑫,平衡
006250.OF,上投摩根动力精选,成长
000327.OF,南方潜力新蓝筹,平衡
005106.OF,银华农业产业,成长
000432.OF,中银优秀企业,成长
001974.OF,景顺长城量化新动力,平衡
001186.OF,富国文体健康,成长
164205.OF,天弘文化新兴产业,成长
320016.OF,诺安多策略,平衡
161611.OF,融通内需驱动,成长
003834.OF,华夏能源革新,成长
002595.OF,博时工业4.0,成长
000411.OF,景顺长城优质成长,平衡
006692.OF,金信消费升级A,成长
740001.OF,长安宏观策略,成长
160919.OF,大成产业升级,成长
540007.OF,汇丰晋信中小盘,成长
090016.OF,大成消费主题,成长
150968.OF,银河研究精选,成长
003634.OF,嘉实农业产业,成长
005268.OF,鹏华优势企业,成长
168501.OF,北信瑞丰产业升级,成长
005264.OF,国都多策略,成长
460002.OF,华泰柏瑞积极成长A,成长
001256.OF,泓德优选成长,成长
400011.OF,东方核心动力,平衡
006266.OF,永赢智能领先A,价值
001672.OF,国寿安保智慧生活,成长
000866.OF,华宝高端制造,成长
001482.OF,上投摩根新兴服务,成长
560002.OF,益民红利成长,成长
003822.OF,中信建投行业轮换A,平衡
006281.OF,万家人工智能,成长
610005.OF,信达澳银红利回报,成长
000696.OF,汇添富环保行业,成长
006424.OF,嘉合锦程价值精选A,成长
570007.OF,诺德优选30,成长
000916.OF,前海开源股息率100强,价值
006346.OF,安信量化优选A,平衡
004784.OF,招商稳健优选,成长
001047.OF,光大国企改革主题,成长
005498.OF,银华积极成长,成长
000006.OF,西部利得量化成长,成长
005533.OF,银华国企改革,成长
001749.OF,招商中国机遇,成长
004995.OF,广发品牌消费A,成长
000688.OF,景顺长城研究精选,平衡
006511.OF,博道卓远A,成长
003567.OF,华夏行业景气,成长
003956.OF,南方现代教育,成长
202213.OF,南方核心竞争,成长
001490.OF,汇添富国企创新增长,成长
006648.OF,汇安多因子A,成长
001825.OF,建信中国制造2025,成长
050008.OF,博时第三产业成长,成长
001236.OF,博时丝路主题A,成长
005075.OF,富国研究量化精选,成长
519019.OF,大成景阳领先,成长
004683.OF,建信高端医疗,成长
005164.OF,富荣福锦A,成长
001558.OF,天弘医疗健康A,成长
673090.OF,西部利得个股精选,平衡
004350.OF,汇丰晋信价值先锋,平衡
290006.OF,泰信蓝筹精选,平衡
007012.OF,湘财长顺A,成长
167702.OF,德邦量化优选A,平衡
006167.OF,德邦乐享生活A,平衡
005402.OF,广发资源优选A,成长
006969.OF,圆信永丰高端制造,成长
005352.OF,鹏扬景泰成长A,成长
005090.OF,嘉合睿金A,成长
007084.OF,天治转型升级,成长
005970.OF,国泰消费优选,平衡
004359.OF,创金合信量化核心A,平衡
005495.OF,创金合信科技成长A,成长
004640.OF,华夏节能环保,成长
519039.OF,长盛同德,成长
005927.OF,创金合信新能源汽车A,平衡
671030.OF,西部利得事件驱动,成长
050018.OF,博时行业轮动,平衡
001719.OF,工银瑞信国家战略主题,平衡
007439.OF,东海科技动力A,成长
519026.OF,海富通中小盘,成长
160910.OF,大成创新成长,平衡
006430.OF,凯石澜龙头经济定开,成长
202019.OF,南方策略优化,成长
202212.OF,南方平衡配置,成长
005237.OF,银华医疗健康A,成长
001521.OF,国寿安保成长优选,成长
001048.OF,富国新兴产业,成长
050009.OF,博时新兴成长,成长
004434.OF,博时逆向投资A,平衡
519935.OF,长信创新驱动,成长
006538.OF,东海核心价值,成长
580006.OF,东吴新经济,成长
006160.OF,博道启航A,平衡
006251.OF,银华兴盛,成长
005638.OF,农银汇理量化智慧动力,成长
005041.OF,人保研究精选A,成长
001039.OF,嘉实先进制造,成长
005310.OF,广发电子信息传媒产业精选A,成长
006551.OF,中庚价值领航,平衡
501051.OF,圆信永丰汇利,成长
001162.OF,前海开源优势蓝筹A,平衡
006022.OF,富国大盘价值,平衡
007854.OF,光大保德信景气先锋,成长
001917.OF,招商量化精选A,平衡
001726.OF,汇添富新兴消费,成长
001678.OF,英大国企改革主题,平衡
004716.OF,信诚量化阿尔法,平衡
006157.OF,财通量化核心优选,成长
001050.OF,汇添富成长多因子量化策略,平衡
001849.OF,前海开源强势共识100强,平衡
006564.OF,圆信永丰精选回报,成长
007163.OF,浦银安盛环保新能源A,成长
001036.OF,嘉实企业变革,成长
005043.OF,国寿安保健康科学A,成长
620006.OF,金元顺安消费主题,平衡
006882.OF,华泰保兴健康消费A,成长
006274.OF,圆信永丰医药健康,平衡
240010.OF,华宝行业精选,成长
007685.OF,华商电子行业量化,成长
004250.OF,银河量化优选,平衡
005189.OF,海富通量化前锋A,成长
168102.OF,九泰锐富事件驱动,平衡
002210.OF,创金合信量化多因子A,平衡
006718.OF,国融融盛龙头严选A,成长
006025.OF,诺安优化配置,平衡
005706.OF,兴业龙腾双益平衡,成长
002861.OF,工银瑞信智能制造,成长
003751.OF,万家瑞隆,平衡
003053.OF,嘉实文体娱乐A,成长
004769.OF,申万菱信价值优先,平衡
007113.OF,永赢高端制造A,价值
660006.OF,农银汇理大盘蓝筹,成长
090020.OF,大成健康产业,成长
000925.OF,汇添富外延增长主题,成长
008208.OF,博道嘉泰回报,成长
006992.OF,嘉合锦创优势精选,成长
168601.OF,汇安裕阳三年定期开放,成长
006942.OF,华泰柏瑞量化明选A,平衡
007968.OF,华泰柏瑞研究精选A,成长
008276.OF,财通资管价值发现,平衡
004871.OF,中银金融地产A,价值
007281.OF,嘉合消费升级,成长
001637.OF,嘉实腾讯自选股大数据,平衡
001245.OF,工银瑞信生态环境,成长
481006.OF,工银瑞信红利,成长
000971.OF,诺安新经济,成长
006580.OF,兴全安泰平衡养老(FOF),价值
006801.OF,前海联合科技先锋A,成长
001707.OF,诺安高端制造,平衡
001403.OF,招商国企改革,成长
006419.OF,人保优势产业A,成长
008251.OF,汇安宜创量化精选A,平衡
005009.OF,申万菱信行业轮动,成长
004606.OF,上投摩根优选多因子,成长
006911.OF,长江量化匠心甄选A,平衡
005000.OF,泰康泉林量化价值精选A,平衡
008980.OF,中邮科技创新精选A,平衡
005449.OF,华夏行业龙头,成长
008244.OF,上银鑫卓,成长
008128.OF,湘财长源A,成长
006225.OF,人保量化基本面A,成长
002334.OF,汇丰晋信大盘波动精选A,价值
162209.OF,泰达宏利市值优选,成长
001193.OF,中金消费升级,成长
004730.OF,建信量化事件驱动,成长
005296.OF,南华丰淳A,成长
160415.OF,华安量化多因子,成长
007533.OF,格林创新成长A,成长
006305.OF,银华养老2035三年,成长
001476.OF,中银智能制造,成长
001421.OF,南方量化成长,成长
007133.OF,嘉实长青竞争优势A,平衡
001496.OF,工银瑞信聚焦30,成长
080007.OF,长盛同鑫行业配置A,成长
006877.OF,天治量化核心精选A,成长
004881.OF,中银量化价值A,平衡
007613.OF,嘉合医疗健康,成长
006128.OF,银河和美生活,成长
005405.OF,中金金序量化蓝筹A,平衡
004212.OF,中融量化智选A,成长
210009.OF,金鹰核心资源,平衡
004926.OF,中航军民融合精选A,成长
005005.OF,中金金泽A,成长
004352.OF,北信瑞丰研究精选,成长
001223.OF,鹏华文化传媒娱乐,成长
004112.OF,创金合信国企活力,平衡
001495.OF,东方新价值A,平衡
008909.OF,创金合信鑫益A,成长
002179.OF,华安事件驱动量化策略,成长
005569.OF,中融智选红利A,平衡
005844.OF,东方人工智能主题,成长
001475.OF,易方达国防军工,成长
008178.OF,同泰慧盈A,平衡
002952.OF,建信多因子量化,成长
005502.OF,华泰紫金智能量化,平衡
006199.OF,长盛同锦研究精选,成长
006195.OF,国金量化多因子,平衡
007271.OF,鹏华养老2045三年,成长
005486.OF,平安量化精选A,成长
008145.OF,兴全优选进取三个月,平衡
005037.OF,银华新能源新材料量化A,成长
007297.OF,大成养老2040三年A,成长
006926.OF,长城量化精选,价值
001628.OF,招商体育文化休闲,成长
008037.OF,兴银先锋成长A,成长
008135.OF,华宸未来价值先锋,成长
006270.OF,汇安核心成长A,平衡
410009.OF,华富量子生命力,成长
008638.OF,广发科技创新,成长
003492.OF,前海开源外向企业,成长
008230.OF,九泰天辰量化,成长
671010.OF,西部利得策略优选,成长
008671.OF,银华科技创新,成长
006887.OF,诺德新生活A,成长
008093.OF,同泰慧选A,成长
161038.OF,富国新兴成长量化精选,平衡
004936.OF,中航混改精选A,成长
005095.OF,国泰量化成长优选A,平衡
001195.OF,工银瑞信农业产业,成长
008734.OF,交银科锐科技创新,成长
005628.OF,汇安趋势动力A,成长
008277.OF,财通资管行业精选,成长
003232.OF,创金合信金融地产A,平衡
006894.OF,兴业养老2035A,成长
007770.OF,同泰开泰A,平衡
004189.OF,华商消费行业,成长
001188.OF,鹏华改革红利,成长
006872.OF,长信颐天平衡养老(FOF)A,成长
400032.OF,东方主题精选,成长
005035.OF,银华信息科技量化A,成长
001158.OF,工银瑞信新材料新能源行业,成长
006103.OF,凯石淳行业精选A,成长
001404.OF,招商移动互联网,成长
008997.OF,同泰竞争优势A,成长
580003.OF,东吴行业轮动,成长
001416.OF,嘉实事件驱动,成长
001396.OF,建信互联网+产业升级,成长
004720.OF,华夏睿磐泰茂A,平衡
006534.OF,农银汇理永盛定期开放,成长
001267.OF,泰达宏利蓝筹价值,成长
005632.OF,鹏华量化先锋,平衡
001230.OF,鹏华医药科技,成长
005082.OF,诺德量化蓝筹增强A,平衡
006749.OF,东兴核心成长A,成长
110025.OF,易方达资源行业,平衡
690003.OF,民生加银精选,平衡
000061.OF,华夏盛世精选,平衡
002871.OF,华夏智胜价值成长A,平衡
001614.OF,东方区域发展,价值
001167.OF,金鹰科技创新,成长
002174.OF,东方互联网嘉,平衡
001277.OF,博时国企改革主题,成长
001088.OF,华宝国策导向,价值
005104.OF,富荣福康A,成长
620004.OF,金元顺安价值增长,成长
001097.OF,华泰柏瑞积极优选,成长
000893.OF,工银瑞信创新动力,价值
001409.OF,工银瑞信互联网加,成长
